,S_w,AR_w,sweep_w,xr_w,Cht,Cvt,x_mlg,y_mlg,z_lg
f = W0/W0ref,0.042945329910668274,-0.18293452781054903,-0.2165968633446435,0.0,0.05068105526934541,0.043929660346003714,0.0,0.0,0.0
landing,0.7248097862588843,0.15734699615521652,-0.1018815951966956,0.0,-0.03621131671793787,-0.03138748464664998,0.0,0.0,0.0
SM_fwd,-1.3128265234790826,-0.8643912503103479,-3.3667724412067557,-3.8515229878838264,-1.0027150626623627,0.09679165147158386,0.7064891164054732,0.0,0.0
SM_aft,11.39847660360127,4.562959418146217,23.640485627368644,38.506053834269636,4.7307913051830575,-0.73084142030444,-5.073167096500963,0.0,0.0
SM_aft_max,-5.699238301800635,-2.2814797090731087,-11.820242813684322,-19.253026917134818,-2.3653956525915287,0.36542071015222,2.5365835482504817,0.0,0.0
nlg_fwd,0.7341211526068481,0.18820419109666364,0.9426099071047078,2.303520418437399,0.04152701561732641,0.03653584894625084,-5.689432087136459,0.0,0.0
nlg_aft,-2.7397257280015186,-0.4952828246940211,-2.572512149946471,-5.102295480913233,-0.37725273352884336,-0.33104398567518345,34.66318228994236,0.0,0.0
tipback,-1.4373655392685425,-0.25984442798498986,-1.3496388628819744,-2.6768605379534627,-0.19792130039275602,-0.17367841319504418,19.19701002605023,0.0,0.8668906099268403
tailstrike,0.0,0.0,0.0,0.0,0.0,0.0,2.0780268367048826,0.0,-2.069153188876127
overturn,0.06490208161513689,0.01663873016533035,0.08333412662098194,0.20364931546112963,0.003671314668385328,0.003230056293546113,-0.48217004187556256,0.43349695783623243,0.45134308381766797
tank,1.697043311118529,0.022707548384959253,0.5298472397408105,0.0,-0.0808341259406209,-0.06941091091450247,0.0,0.0,0.0
span,-0.4660808364942426,-0.4660808364942426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheelspan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8057553956836161,0.0
height,-0.246625384623389,0.0,0.0,0.0,0.0,-0.246625384623389,0.0,0.0,0.2849999999998687
thrust,0.3341571673365351,0.7360294872404971,0.7435893356688705,0.0,-0.10041118154280326,-0.08603668267048725,0.0,0.0,0.0
CLv,0.4497117742618961,0.2596601581539293,0.1318083751167265,0.0,0.046175288621053134,0.9511197742667621,0.0,0.0,0.0
gear_te,0.5289797422092235,-0.4157534749282821,0.494352994041547,2.134547522010255,0.0,0.0,-3.471334859026509,0.27882786075461574,0.0
gear_spar,-1.057959484418447,0.8315069498565641,-0.988705988083094,-4.26909504402051,0.0,0.0,6.942669718053018,-0.5576557215092315,0.0
